DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	90	900000	890000	5	9	2674334883609087840	-8165631886473266848	720	970	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	FETCH,FILTER,GRPBY,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	91	780000	770000	5	5	4763803552871309152	4763803552871309152	990	970	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	91	900000	890000	5	5	9017726431790484832	9017726431790484832	1370	1340	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	91	1480000	1470000	5	5	9017726431790484832	9017726431790484832	2975	2945	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	91	1900000	1890000	5	5	-5728584080161399456	9017726431790484832	4390	4445	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	95	850000	840000	6	6	-8664562295738717856	4142196972179540064	1470	1280	GRPBY,HSJOIN,IXSCAN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,SORT,TBSCAN
db2	439	96	120000	110000	8	8	5357953665078808064	6822321589694965984	240	280	FILTER,HSJOIN,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN	FILTER,HSJOIN,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	97	950000	940000	3	3	-7435514676055586240	-795230860440306592	500	660	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	97	1010000	1000000	3	3	5704782023934456352	-795230860440306592	520	705	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	99	1150000	1140000	6	6	4012810706430859744	-6298133800155269152	1475	1490	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
