*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	230000	310000	260000	-7734868676949578016	TBSCAN	9	2787
db2	252	7	230000	310000	270000	-7734868676949578016	TBSCAN	9	2898
db2	252	7	230000	310000	280000	-7734868676949578016	TBSCAN	9	3003
db2	252	7	230000	310000	290000	-7734868676949578016	TBSCAN	9	3108
db2	252	7	230000	310000	300000	-7734868676949578016	TBSCAN	9	3219
db2	252	7	230000	310000	310000	-7734868676949578016	TBSCAN	9	3324
db2	252	7	450000	540000	450000	-7734868676949578016	RETURN	0	31762
db2	252	7	450000	540000	460000	-7734868676949578016	RETURN	0	31989
db2	252	7	450000	540000	470000	-7734868676949578016	RETURN	0	32201
db2	252	7	450000	540000	480000	-7734868676949578016	RETURN	0	32426
db2	252	7	450000	540000	490000	-7734868676949578016	RETURN	0	32639
db2	252	7	450000	540000	500000	-7734868676949578016	RETURN	0	32852
db2	252	7	450000	540000	510000	-7734868676949578016	RETURN	0	33079
db2	252	7	450000	540000	520000	-7734868676949578016	RETURN	0	33290
db2	252	7	450000	540000	530000	-7734868676949578016	RETURN	0	33501
db2	252	7	450000	540000	540000	-7734868676949578016	RETURN	0	33727
db2	252	7	450000	540000	450000	-7734868676949578016	GRPBY	1	31762
db2	252	7	450000	540000	460000	-7734868676949578016	GRPBY	1	31989
db2	252	7	450000	540000	470000	-7734868676949578016	GRPBY	1	32201
db2	252	7	450000	540000	480000	-7734868676949578016	GRPBY	1	32426
db2	252	7	450000	540000	490000	-7734868676949578016	GRPBY	1	32639
db2	252	7	450000	540000	500000	-7734868676949578016	GRPBY	1	32852
db2	252	7	450000	540000	510000	-7734868676949578016	GRPBY	1	33079
db2	252	7	450000	540000	520000	-7734868676949578016	GRPBY	1	33290
db2	252	7	450000	540000	530000	-7734868676949578016	GRPBY	1	33501
db2	252	7	450000	540000	540000	-7734868676949578016	GRPBY	1	33727
db2	252	7	450000	540000	450000	-7734868676949578016	HSJOIN	2	31666
db2	252	7	450000	540000	460000	-7734868676949578016	HSJOIN	2	31892
db2	252	7	450000	540000	470000	-7734868676949578016	HSJOIN	2	32104
db2	252	7	450000	540000	480000	-7734868676949578016	HSJOIN	2	32329
db2	252	7	450000	540000	490000	-7734868676949578016	HSJOIN	2	32541
db2	252	7	450000	540000	500000	-7734868676949578016	HSJOIN	2	32753
db2	252	7	450000	540000	510000	-7734868676949578016	HSJOIN	2	32978
db2	252	7	450000	540000	520000	-7734868676949578016	HSJOIN	2	33190
db2	252	7	450000	540000	530000	-7734868676949578016	HSJOIN	2	33401
db2	252	7	450000	540000	540000	-7734868676949578016	HSJOIN	2	33627
db2	252	7	450000	540000	450000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	460000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	470000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	480000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	490000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	500000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	510000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	520000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	530000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	540000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	450000	540000	450000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	460000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	470000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	480000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	490000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	500000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	510000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	520000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	530000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	540000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	450000	540000	450000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	460000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	470000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	480000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	490000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	500000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	510000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	520000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	530000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	540000	-7734868676949578016	GRPBY	5	11016
db2	252	7	450000	540000	450000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	460000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	470000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	480000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	490000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	500000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	510000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	520000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	530000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	540000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	450000	540000	450000	-7734868676949578016	HSJOIN	7	9720
db2	252	7	450000	540000	460000	-7734868676949578016	HSJOIN	7	9945
db2	252	7	450000	540000	470000	-7734868676949578016	HSJOIN	7	10155
db2	252	7	450000	540000	480000	-7734868676949578016	HSJOIN	7	10380
db2	252	7	450000	540000	490000	-7734868676949578016	HSJOIN	7	10591
db2	252	7	450000	540000	500000	-7734868676949578016	HSJOIN	7	10802
