ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	TOT_PT
19300	782	80172	4	4	1	9
19300	783	80172	4	4	1	9
19300	784	80173	4	4	1	9
19300	785	80172	4	4	0	8
19300	786	80172	4	4	0	8
19300	787	80168	4	4	1	9
19300	788	80169	4	4	2	10
19300	789	80172	4	4	0	8
19300	790	80171	4	4	2	10
19300	791	80172	4	4	1	9
19300	792	80172	4	4	1	9
19300	793	80169	4	4	1	9
19300	794	80172	4	4	1	9
19300	795	80172	4	4	0	8
19300	796	80171	4	4	1	9
19300	797	80172	4	4	0	8
19300	798	80172	4	4	1	9
19300	799	80171	4	4	1	9
19300	800	80165	4	4	1	9
19300	801	80173	4	4	0	8
19300	802	80171	4	4	2	10
19300	803	80175	4	4	0	8
19300	804	80170	4	4	0	8
19300	805	80172	4	4	1	9
19300	806	80165	4	4	2	10
19300	807	80170	4	4	2	10
19300	808	80172	4	4	1	9
19300	809	80172	4	4	1	9
19300	810	80172	4	4	0	8
19300	811	80172	4	4	0	8
19300	812	80166	4	4	1	9
19300	813	80172	4	4	0	8
19300	814	80173	4	4	0	8
19300	815	80172	4	4	0	8
19300	816	80172	4	4	1	9
19300	817	80171	4	4	1	9
19300	818	80168	4	4	1	9
19300	819	80169	4	4	1	9
19300	820	80172	4	4	0	8
19300	821	80170	4	4	1	9
19300	822	80172	4	4	1	9
19300	823	80171	4	4	1	9
19300	824	80171	4	4	1	9
19300	825	80171	4	4	1	9
19300	826	80170	4	4	1	9
19300	827	80172	4	5	1	10
19300	828	80165	4	4	1	9
19300	829	80170	4	4	3	11
19300	830	80169	4	4	3	11
19300	831	80171	4	4	1	9
19300	832	80171	4	4	1	9
19300	833	80171	4	4	1	9
19300	834	80172	4	4	0	8
19300	835	80171	4	4	0	8
19300	836	80172	4	4	0	8
19300	837	80164	4	4	2	10
19300	838	80173	4	4	0	8
19300	839	80170	4	4	1	9
19300	840	80171	4	4	2	10
19300	841	80170	4	4	2	10
19300	842	80171	4	4	1	9
19300	843	80171	4	4	1	9
19300	844	80173	5	4	0	9
19300	845	80172	4	4	0	8
19300	846	80172	4	4	1	9
19300	847	80169	4	4	1	9
19300	848	80170	4	4	0	8
19300	849	80171	4	4	0	8
19300	850	80170	4	4	2	10
19300	851	80175	4	4	1	9
19300	852	80167	4	4	4	12
19300	853	80171	4	4	0	8
19300	854	80169	4	4	2	10
19300	855	80170	4	4	1	9
19300	856	80170	4	4	2	10
19300	857	80171	4	4	1	9
19300	858	80172	4	4	1	9
19300	859	80171	4	4	1	9
19300	860	80171	4	4	1	9
19300	861	80172	4	4	0	8
19300	862	80167	4	4	1	9
19300	863	80172	4	4	0	8
19300	864	80173	4	4	0	8
19300	865	80169	4	4	3	11
19300	866	80171	4	4	1	9
19300	867	80173	4	4	0	8
19300	868	80170	4	4	2	10
19300	869	80170	4	4	2	10
19300	870	80171	4	4	2	10
19300	871	80171	4	4	1	9
19300	872	80170	4	4	2	10
19300	873	80172	4	4	0	8
19300	874	80170	4	4	1	9
19300	875	80167	4	4	1	9
19300	876	80171	4	4	2	10
19300	877	80171	4	4	1	9
19300	878	80172	5	4	1	10
19300	879	80170	4	4	2	10
19300	880	80172	4	4	1	9
19300	881	80170	4	4	2	10
19300	882	80171	4	4	1	9
19300	883	80172	4	4	0	8
19300	884	80172	4	4	0	8
19300	885	80169	4	4	1	9
19300	886	80169	4	4	1	9
19300	887	80171	4	4	1	9
19300	888	80170	4	4	2	10
19300	889	80172	4	4	0	8
19300	890	80170	4	4	2	10
19300	891	80172	4	4	1	9
19300	892	80172	4	4	0	8
19300	893	80171	4	4	1	9
19300	894	80171	4	4	1	9
19300	895	80170	4	4	2	10
19300	896	80170	4	4	1	9
19300	897	80172	4	4	0	8
19300	898	80171	4	4	2	10
19300	899	80171	4	4	1	9
19300	900	80172	4	4	0	8
19300	901	80170	4	4	1	9
19300	902	80171	4	4	2	10
19300	903	80171	4	4	1	9
19300	904	80170	4	4	1	9
19300	905	80173	4	4	1	9
19300	906	80172	4	4	1	9
19300	907	80166	4	4	0	8
19300	908	80172	4	4	1	9
19300	909	80171	4	4	0	8
19300	910	80170	4	4	2	10
19300	911	80172	4	4	0	8
19300	912	80173	4	4	0	8
19300	913	80172	4	4	1	9
19300	914	80167	4	4	3	11
19300	915	80171	4	4	1	9
19300	916	80172	4	4	1	9
19300	917	80173	4	4	0	8
