ITERNUM	U_TIME	S_TIME	PRTIME	METIME
626	32066	1	32067	32069
627	32068	0	32068	32071
628	32072	1	32073	32075
629	32066	0	32066	32070
630	32064	0	32064	32070
631	32073	0	32073	32077
632	32066	2	32068	32072
633	32066	0	32066	32070
634	32065	1	32066	32069
635	32074	0	32074	32077
636	32066	0	32066	32069
637	32065	0	32065	32069
638	32071	0	32071	32076
639	32068	0	32068	32072
640	32065	2	32067	32069
641	32068	1	32069	32072
642	32069	2	32071	32075
643	32068	0	32068	32071
644	32065	1	32066	32070
645	32070	2	32072	32075
646	32065	1	32066	32069
647	32068	0	32068	32072
648	32069	2	32071	32076
649	32065	1	32066	32070
650	32064	2	32066	32070
651	32068	0	32068	32071
652	32071	1	32072	32075
653	32066	1	32067	32070
654	32065	2	32067	32069
655	32072	1	32073	32077
656	32067	0	32067	32069
657	32066	0	32066	32070
658	32071	1	32072	32075
659	32067	2	32069	32074
660	32064	2	32066	32070
661	32063	2	32065	32070
662	32071	1	32072	32075
663	32066	1	32067	32072
664	32067	0	32067	32069
665	32071	0	32071	32075
666	32067	0	32067	32071
667	32065	1	32066	32072
668	32067	2	32069	32073
669	32066	5	32071	32074
670	32066	0	32066	32069
671	32066	2	32068	32071
672	32071	1	32072	32076
673	32065	0	32065	32070
674	32066	1	32067	32069
675	32071	1	32072	32076
676	32065	1	32066	32069
677	32067	0	32067	32070
678	32065	2	32067	32070
679	32071	1	32072	32076
680	32066	0	32066	32070
681	32066	1	32067	32070
682	32070	2	32072	32076
683	32065	1	32066	32070
684	32067	0	32067	32069
685	32071	0	32071	32076
686	32068	0	32068	32071
687	32066	1	32067	32069
688	32064	2	32066	32070
689	32071	0	32071	32076
690	32067	0	32067	32069
691	32065	1	32066	32070
692	32069	3	32072	32076
693	32066	1	32067	32069
